year,region,wine,beer,vodka,champagne,brandy,cartodb_id,birth_rate,death_rate,urbanization,population
1998,Свердловская область,4.4,31.1,12.8,1.4,0.4,72,8.5,14.0,87.74,4290.07
1998,Севастополь,5.1,23.3,11.2,0.5,0.2,100,9.3,12.1,67.3,509.99
1998,Северная Осетия,1.4,23.3,10.6,1.4,0.1,35,11.4,12.0,68.27,693.1
1998,Смоленская область,3.4,35.6,14.0,0.6,0.2,58,7.2,17.4,69.79,921.13
1998,Ставропольскиий край,8.8,17.2,11.8,1.6,0.4,15,9.4,12.6,54.14,2305.61
1998,Тамбовская область,1.7,12.6,12.3,1.2,0.3,73,7.8,16.9,57.14,994.42
1998,Тверская область,2.6,14.1,8.9,0.5,0.3,54,7.6,19.1,72.21,1245.62
1998,Томская область,4.8,18.7,16.8,1.1,0.4,18,9.5,11.9,66.53,1070.34
1998,Тульская область,2.3,23.8,11.5,0.4,0.1,65,7.0,18.2,81.24,1449.12
1998,Тыва,1.9,7.4,11.1,0.3,0.1,76,17.2,11.9,48.71,330.37
1998,Тюменская область,3.0,23.8,11.5,0.8,0.3,20,11.0,8.3,76.66,1543.39
1998,Удмуртия,3.6,15.8,11.4,0.9,0.2,59,10.1,11.9,69.59,1493.36
1998,Ульяновская область,1.0,34.8,9.7,0.3,0.2,63,8.0,13.1,72.78,1218.32
1998,Хабаровскиий край,3.7,24.8,15.6,1.4,0.6,79,8.9,12.5,80.56,1301.13
1998,Ханты-Мансийский автономный округ,3.0,23.8,11.5,0.8,0.3,71,11.5,6.0,91.13,1687.65
1998,Чевашская республика,1.6,20.9,8.8,0.8,0.02,49,9.9,11.9,60.02,1207.88
1998,Челябинская область,4.7,27.9,11.1,1.4,0.2,24,8.9,12.9,81.46,3442.81
1998,Чечня,6.3,30.2,0.4,1.3,0.08,32,13.2,6.7,37.33,1497.99
1998,Чукотка,0.3,1.8,4.6,0.6,0.1,68,12.3,8.8,68.93,49.53
1998,Ямало-Ненецкий автономный округ,3.0,23.8,11.5,0.8,0.3,70,12.8,5.1,83.36,547.01
1998,Ярославская область,3.5,32.4,21.1,0.7,0.3,66,7.3,16.3,80.35,1241.42
1999,Адыгея,2.3,11.2,4.3,0.3,0.1,37,8.6,13.8,52.97,463.17
1999,Алтайский край,2.2,24.7,11.5,1.1,0.1,17,8.7,13.8,52.89,2296.35
1999,Амурская область,2.9,26.7,16.2,0.7,0.2,81,9.9,13.4,66.31,781.85
1999,Архангельская область,4.6,17.4,14.9,0.6,0.3,2,8.5,15.8,74.55,1082.66
1999,Астраханская область,3.8,18.6,10.2,0.5,0.1,33,9.5,13.7,68.22,997.78
1999,Башкортостан,1.5,22.3,12.0,0.8,0.1,61,10.0,12.8,64.02,4013.79
1999,Белгородская область,2.7,22.3,10.3,0.7,0.1,26,7.6,15.1,64.95,1541.26
1999,Брянская область,3.1,34.8,10.6,0.5,0.1,27,7.8,17.5,68.29,1182.68
1999,Бурятия,1.3,9.5,19.6,1.1,0.1,10,11.4,13.0,59.72,985.43
1999,Владимирская область,1.8,21.4,16.1,0.5,0.1,22,7.2,18.2,79.77,1342.1
1999,Волгоградская область,3.5,36.5,9.2,2.1,0.2,29,7.8,15.1,74.76,2474.56
1999,Вологодская область,2.5,24.8,17.4,0.4,0.1,55,8.0,16.1,69.0,1151.04
1999,Воронежская область,2.1,24.4,11.7,1.0,0.1,15,7.1,17.4,61.35,2792.8
1999,Дагестан,3.8,1.6,1.0,0.2,0.1,14,15.8,6.6,43.02,3133.3
1999,Еврейская автономная область,3.4,11.5,11.4,0.4,0.2,80,9.5,13.8,67.0,156.5
1999,Забайкальский край,1.1,11.5,5.8,0.2,0.1,9,11.5,14.3,63.84,1053.49
1999,Ивановская область,1.6,28.4,15.1,0.1,0.04,57,6.7,20.7,82.41,987.03
1999,Ингушетия,6.3,20.1,2.1,1.3,0.3,34,20.6,6.1,42.01,515.56
1999,Иркутская область,5.6,29.1,14.7,0.9,0.4,82,10.1,14.8,79.62,2375.02
1999,Кабардино-Балкарская республика,1.8,12.6,8.2,0.4,0.3,36,10.5,9.5,56.83,869.19
1999,Калининградская область,3.1,27.6,15.3,1.0,0.7,47,7.4,14.1,77.84,1018.62
1999,Калужская область,2.8,26.5,17.7,0.9,0.1,64,7.0,17.5,74.33,1000.98
1999,Камчатский край,6.5,30.6,26.4,0.9,0.4,8,9.4,10.5,80.72,311.67
1999,Карачаево-Черкесская республика,2.1,6.9,10.9,0.1,0.04,13,10.3,10.7,43.92,465.36
1999,Кемеровская область,2.5,26.1,17.4,0.5,0.2,78,8.4,15.8,86.57,2633.45
1999,Кировская область,1.5,13.1,13.6,0.3,0.1,52,7.8,16.0,71.0,1250.17
1999,Костромская область,1.8,27.7,17.3,1.1,0.1,53,7.9,18.3,66.34,628.42
1999,Краснодарский край,6.8,39.6,8.2,1.0,0.3,39,8.4,14.6,53.82,5683.95
1999,Красноярский край,4.0,32.2,15.3,1.1,0.3,69,9.0,14.1,75.03,2855.9
1999,Курганская область,3.8,25.2,14.4,0.9,0.2,1,9.3,15.3,56.23,818.57
1999,Курская область,1.3,30.0,4.8,0.3,0.1,5,7.9,18.1,60.26,1096.49
1999,Ленинградская область,3.0,25.6,16.5,0.9,0.2,46,6.4,17.6,66.32,5384.34
1999,Липецкая область,3.1,29.6,9.1,0.7,0.1,6,7.3,16.0,63.9,1128.19
1999,Магаданская область,4.8,18.7,23.2,1.7,0.1,7,9.3,10.6,90.02,139.03
1999,Москва,6.6,56.0,18.7,3.6,0.7,42,6.8,13.0,100.0,12655.05
1999,Московская область,2.3,15.8,15.8,1.1,0.3,23,6.7,16.4,79.57,7708.5
1999,Мурманская область,4.5,27.1,17.8,1.6,0.6,43,7.9,10.5,92.16,732.86
1999,Ненецкий автономный округ,4.6,17.4,14.9,0.6,0.3,3,12.5,10.5,62.35,44.39
1999,Нижний Новгород,3.8,25.4,10.6,1.0,0.2,62,7.4,17.1,77.79,3176.55
1999,Новгородская область,4.9,48.8,17.6,0.9,0.3,4,7.3,19.4,70.04,592.42
1999,Новосибирская область,2.5,28.1,20.5,1.4,0.2,19,7.9,13.6,74.54,2785.84
1999,Омская область,7.5,36.0,16.6,1.1,0.5,21,8.3,13.0,68.07,1903.68
1999,Оренбургская область,1.6,24.3,11.2,0.9,0.1,30,9.1,13.7,64.29,1942.92
1999,Орловская область,3.8,29.4,15.0,1.0,0.3,51,7.4,16.7,62.88,724.69
1999,Пензенская область,2.0,19.7,6.0,0.4,0.1,28,7.3,16.5,64.44,1290.9
1999,Пермский край,3.2,15.4,15.8,1.3,0.3,56,9.3,15.2,76.04,2579.26
1999,Прриморский край,1.2,19.1,10.3,0.7,0.1,12,8.1,13.0,77.74,1877.84
1999,Псковская область,6.1,18.0,7.9,0.3,0.04,44,7.0,21.6,65.14,620.25
1999,Республика Алтай,4.8,5.1,7.9,0.6,0.1,77,13.6,12.6,25.26,220.95
1999,Республика Калмыкия,2.7,5.2,14.1,0.6,0.1,38,11.6,10.8,40.77,269.98
1999,Республика Карелия,2.4,21.0,15.0,0.3,0.1,83,8.2,15.7,74.03,609.07
1999,Республика Коми,5.9,35.7,25.9,2.5,0.6,25,9.1,11.5,75.45,813.59
1999,Республика Крым,2.1,40.1,0.2,2.3,0.22,200,9.1,15.2,55.3,1901.58
1999,Республика Мари Эл,1.8,20.8,10.8,0.3,0.04,60,8.8,14.3,62.91,675.33
1999,Республика Мордовия,1.4,15.2,11.2,0.2,0.1,48,7.6,15.4,59.07,778.97
1999,Республика Саха (Якутия),1.8,16.3,17.5,0.5,0.2,67,13.1,9.8,64.32,981.97
1999,Республика Татарстан,1.3,29.6,16.6,0.5,0.1,50,9.3,12.3,73.62,3894.12
1999,Республика Хакасия,2.9,48.7,15.1,1.1,0.6,75,9.5,14.8,70.86,532.04
1999,Ростовская область,6.2,27.8,9.7,1.5,0.1,40,7.5,14.7,67.69,4181.49
1999,Рязанская область,1.3,31.9,14.8,1.5,0.1,74,7.0,18.7,67.87,1098.26
1999,Самарская область,1.8,24.6,7.5,1.3,0.2,31,7.5,15.1,80.58,3154.16
1999,Санкт-Петербург,2.6,57.4,13.0,1.7,0.6,46,6.2,15.2,100.0,1892.71
1999,Саратовская область,1.7,19.3,7.3,1.0,0.1,41,7.9,15.2,73.23,2395.11
1999,Сахалин,1.6,19.4,21.0,0.4,0.1,11,8.6,12.8,86.26,485.62
1999,Свердловская область,3.7,38.3,13.2,0.9,0.3,72,8.0,15.5,87.77,4290.07
1999,Севастополь,2.1,21,0.9,1.1,0.34,100,7.8,11.3,66.6,509.99
1999,Северная Осетия,1.7,24.1,11.0,1.5,0.1,35,10.4,12.2,67.85,693.1
1999,Смоленская область,3.4,53.8,16.4,0.5,0.1,58,6.7,19.4,70.04,921.13
1999,Ставропольскиий край,5.9,25.9,13.3,1.7,0.4,15,8.8,13.2,55.97,2305.61
1999,Тамбовская область,1.5,20.6,8.9,1.1,0.2,73,7.4,18.7,57.17,994.42
1999,Тверская область,2.4,24.2,17.7,0.7,0.2,54,7.3,20.9,72.42,1245.62
1999,Томская область,4.6,22.1,16.2,0.8,0.3,18,9.1,12.5,66.88,1070.34
1999,Тульская область,2.7,32.9,13.0,0.5,0.1,65,6.5,20.2,81.25,1449.12
1999,Тыва,1.8,11.8,10.9,0.3,0.4,76,16.0,13.5,49.2,330.37
1999,Тюменская область,4.1,34.4,13.5,0.7,0.3,20,10.3,8.5,76.82,1543.39
1999,Удмуртия,2.3,16.7,13.9,0.6,0.2,59,9.9,13.0,69.62,1493.36
1999,Ульяновская область,1.1,46.3,10.6,0.3,0.1,63,7.8,14.4,72.82,1218.32
1999,Хабаровскиий край,4.6,30.0,16.4,1.1,0.4,79,8.1,13.5,80.66,1301.13
1999,Ханты-Мансийский автономный округ,4.1,34.4,13.5,0.7,0.3,71,10.8,6.2,91.08,1687.65
